split,image_width,image_height,bbox_width,bbox_height,bbox_ratio
train,1280,720,51,38,0.0021028645833333333
train,1280,720,73,64,0.005069444444444444
train,1280,720,102,46,0.005091145833333333
train,1280,720,239,125,0.032416449652777776
train,1280,720,210,123,0.02802734375
train,1280,720,77,49,0.004093967013888889
train,1280,720,174,124,0.023411458333333333
train,1280,720,93,87,0.008779296875
train,1280,720,94,78,0.007955729166666667
train,1280,720,308,115,0.03843315972222222
train,1280,720,165,147,0.026318359375
train,1280,720,194,127,0.02673394097222222
train,1280,720,110,83,0.009906684027777777
train,1280,720,72,41,0.003203125
train,1280,720,528,452,0.25895833333333335
train,1280,720,469,434,0.2208615451388889
train,1280,720,88,71,0.006779513888888889
train,1280,720,88,67,0.0063975694444444444
train,1280,720,69,39,0.002919921875
train,1280,720,98,81,0.00861328125
train,1280,720,243,95,0.025048828125
train,1280,720,242,100,0.026258680555555556
train,1280,720,468,203,0.1030859375
train,1280,720,329,115,0.04105360243055556
train,1280,720,122,58,0.007677951388888889
train,1280,720,445,190,0.09174262152777778
train,1280,720,120,47,0.006119791666666667
train,1280,720,225,89,0.021728515625
train,1280,720,341,150,0.055501302083333336
train,1280,720,277,137,0.04117730034722222
train,1280,720,119,48,0.006197916666666667
train,1280,720,138,54,0.0080859375
train,1280,720,124,69,0.009283854166666666
train,1280,720,84,39,0.0035546875
train,1280,720,186,108,0.021796875
train,1280,720,579,318,0.19978515625
train,1280,720,117,94,0.01193359375
train,1280,720,452,322,0.15792534722222223
train,1280,720,318,198,0.0683203125
train,1280,720,173,95,0.017833116319444446
train,1280,720,73,49,0.0038812934027777778
train,1280,720,313,197,0.06690646701388889
train,1280,720,195,148,0.03131510416666667
train,1280,720,206,159,0.03554036458333333
train,1280,720,246,258,0.0688671875
train,1280,720,81,54,0.00474609375
train,1280,720,148,136,0.021840277777777778
train,1280,720,225,168,0.041015625
train,1280,720,263,165,0.04708658854166667
train,1280,720,412,221,0.09879774305555555
train,1280,720,149,60,0.009700520833333334
train,1280,720,193,102,0.021360677083333335
train,1280,720,290,227,0.07143012152777778
train,1280,720,409,207,0.091865234375
train,1280,720,312,113,0.03825520833333333
train,1280,720,724,363,0.2851692708333333
train,1280,720,242,162,0.0425390625
train,1280,720,292,163,0.05164496527777778
train,1280,720,300,143,0.046549479166666664
train,1280,720,254,120,0.03307291666666667
train,1280,720,124,61,0.008207465277777777
train,1280,720,179,97,0.01884006076388889
train,1280,720,167,64,0.011597222222222222
train,1280,720,223,85,0.020567491319444443
train,1280,720,368,179,0.07147569444444445
train,1280,720,298,198,0.0640234375
train,1280,720,232,139,0.034991319444444446
train,1280,720,231,129,0.032333984375
train,1280,720,235,144,0.03671875
train,1280,720,326,94,0.033250868055555556
train,480,360,177,89,0.09116319444444444
train,1280,720,99,49,0.005263671875
train,480,360,192,104,0.11555555555555555
train,480,360,164,76,0.07212962962962963
train,480,360,90,38,0.019791666666666666
train,480,360,57,26,0.008576388888888889
train,480,360,73,25,0.010561342592592593
train,640,352,256,102,0.1159090909090909
train,640,352,230,67,0.06840376420454546
train,1280,720,82,38,0.0033810763888888888
train,1280,720,114,48,0.0059375
train,1280,720,201,133,0.029007161458333333
train,1280,720,142,65,0.010015190972222223
train,1280,720,44,25,0.001193576388888889
train,1280,720,58,30,0.0018880208333333333
train,1280,720,174,178,0.033606770833333334
train,1280,720,357,208,0.08057291666666666
train,1280,720,191,144,0.02984375
train,1280,720,97,61,0.006420355902777778
train,1280,720,499,236,0.12778211805555556
train,1280,720,500,289,0.1567925347222222
train,1280,720,88,52,0.004965277777777778
train,1280,720,703,365,0.2784233940972222
train,1280,720,120,88,0.011458333333333333
train,1280,720,193,139,0.02910915798611111
train,1280,720,694,295,0.22214626736111112
train,1280,720,516,228,0.12765625
train,1280,720,333,152,0.054921875
train,1280,720,591,267,0.171220703125
train,1280,720,136,80,0.011805555555555555
train,1280,720,160,85,0.014756944444444444
train,1280,720,358,255,0.09905598958333334
train,1280,720,125,109,0.014784071180555556
train,1280,720,173,108,0.0202734375
train,1280,720,63,56,0.003828125
train,1280,720,467,337,0.1707671440972222
train,1280,720,90,51,0.00498046875
train,1280,720,125,70,0.009494357638888888
train,1280,720,60,46,0.002994791666666667
train,1280,720,58,49,0.003083767361111111
train,1280,720,45,30,0.00146484375
train,1280,720,71,68,0.005238715277777778
train,1280,720,314,90,0.0306640625
train,1280,720,56,32,0.0019444444444444444
train,1280,720,426,163,0.07534505208333334
train,1280,720,273,231,0.068427734375
train,1280,720,304,264,0.08708333333333333
train,1280,720,353,192,0.07354166666666667
train,1280,720,333,192,0.069375
train,1280,720,263,150,0.042805989583333336
train,1280,720,50,41,0.002224392361111111
train,1280,720,258,78,0.0218359375
train,1280,720,558,163,0.09869140625
train,1280,720,720,275,0.21484375
train,1280,720,339,100,0.036783854166666664
train,1280,720,102,30,0.0033203125
train,1280,720,231,75,0.018798828125
train,1280,720,259,120,0.03372395833333333
train,1280,720,289,171,0.053623046875
train,1280,720,256,110,0.030555555555555555
train,1280,720,243,98,0.02583984375
train,1280,720,277,166,0.049893663194444444
train,1280,720,327,139,0.04931966145833333
train,1280,720,354,293,0.11254557291666667
train,1280,720,233,163,0.041209852430555555
train,1280,720,55,28,0.0016710069444444444
train,1280,720,177,79,0.015172526041666667
train,1280,720,180,113,0.0220703125
train,1280,720,163,89,0.015741102430555556
train,1280,720,58,35,0.002202690972222222
train,1280,720,144,95,0.01484375
train,1280,720,103,74,0.008270399305555556
train,1280,720,56,50,0.0030381944444444445
train,1280,720,177,90,0.01728515625
train,1280,720,184,103,0.02056423611111111
train,1280,720,229,82,0.020375434027777778
train,1280,720,230,99,0.02470703125
train,1280,720,224,92,0.02236111111111111
train,1280,720,890,372,0.3592447916666667
train,1280,720,423,253,0.116123046875
train,1280,720,351,233,0.088740234375
train,1280,720,62,64,0.0043055555555555555
train,1280,720,31,21,0.0007063802083333334
train,1280,720,68,38,0.0028038194444444443
train,1280,720,220,124,0.029600694444444443
train,1280,720,95,32,0.003298611111111111
train,1280,720,212,76,0.017482638888888888
train,1280,720,226,102,0.025013020833333333
train,1280,720,80,29,0.0025173611111111113
train,1280,720,74,16,0.0012847222222222223
train,1280,720,220,99,0.0236328125
train,1280,720,103,39,0.004358723958333333
train,1280,720,386,229,0.09591362847222222
train,1280,720,172,103,0.019223090277777778
train,1280,720,70,43,0.003266059027777778
train,1280,720,316,190,0.06514756944444444
train,1280,720,80,55,0.004774305555555556
train,1280,720,181,101,0.019836154513888888
train,1280,720,101,41,0.004493272569444444
train,1280,720,154,87,0.014537760416666667
train,1280,720,56,38,0.002309027777777778
train,1280,720,34,19,0.0007009548611111111
train,1280,720,74,47,0.003773871527777778
train,1280,720,95,48,0.0049479166666666664
train,1280,720,36,15,0.0005859375
train,1280,720,413,144,0.06453125
train,1280,720,241,78,0.020397135416666667
train,1280,720,287,95,0.029584418402777778
train,1280,720,850,294,0.2711588541666667
train,1280,720,1181,392,0.5023350694444444
train,1280,720,331,110,0.03950737847222222
train,1280,720,199,181,0.039083116319444444
train,1280,720,193,99,0.020732421875
train,1280,720,53,36,0.0020703125
train,1280,720,155,66,0.011100260416666667
train,1280,720,387,183,0.076845703125
train,1280,720,293,137,0.04355577256944444
train,1280,720,168,136,0.024791666666666667
train,1280,720,27,13,0.000380859375
train,1280,720,24,12,0.0003125
train,1280,720,29,15,0.00047200520833333334
train,1280,720,59,25,0.0016004774305555555
train,1280,720,63,28,0.0019140625
train,1280,720,145,103,0.01620551215277778
train,1280,720,142,81,0.01248046875
train,1280,720,402,164,0.07153645833333333
train,1280,720,289,188,0.058953993055555556
train,1280,720,136,89,0.013133680555555555
train,1280,720,260,87,0.024544270833333333
train,1280,720,550,263,0.1569552951388889
train,1280,720,461,197,0.09854275173611111
train,1280,720,212,77,0.01771267361111111
train,1280,720,178,69,0.013326822916666667
train,1280,720,104,44,0.004965277777777778
train,1280,720,156,63,0.0106640625
train,1280,720,96,33,0.0034375
train,1280,720,203,93,0.020485026041666667
train,1280,720,149,62,0.010023871527777778
train,1280,720,179,68,0.013207465277777778
train,1280,720,150,51,0.00830078125
train,1280,720,266,121,0.03492404513888889
train,1280,720,69,21,0.001572265625
train,1280,720,121,49,0.0064333767361111115
train,1280,720,99,43,0.004619140625
train,1280,720,109,51,0.006031901041666667
train,1280,720,233,129,0.03261393229166667
train,1280,720,319,195,0.06749674479166666
train,1280,720,478,384,0.19916666666666666
train,1280,720,91,72,0.007109375
train,1280,720,186,98,0.019778645833333334
train,1280,720,50,31,0.001681857638888889
train,1280,720,80,53,0.004600694444444445
train,1280,720,644,313,0.21871961805555556
train,1280,720,379,206,0.08471571180555555
train,1280,720,27,17,0.000498046875
train,1280,720,295,144,0.04609375
train,1280,720,236,115,0.02944878472222222
train,1280,720,95,45,0.004638671875
train,1280,720,137,78,0.011595052083333333
train,1280,720,54,34,0.0019921875
train,1280,720,67,40,0.002907986111111111
train,1280,720,225,178,0.04345703125
train,1280,720,66,44,0.0031510416666666666
train,1280,720,175,99,0.018798828125
train,1280,720,148,87,0.013971354166666667
train,1280,720,208,114,0.025729166666666668
train,1280,720,238,109,0.02814887152777778
train,1280,720,56,38,0.002309027777777778
train,1280,720,63,52,0.0035546875
train,1280,720,253,86,0.02360894097222222
train,1280,720,177,64,0.012291666666666666
train,1280,720,138,56,0.008385416666666666
train,1280,720,114,34,0.004205729166666667
train,1280,720,280,91,0.027647569444444443
train,1280,720,248,117,0.031484375
train,1280,720,56,23,0.0013975694444444443
train,1280,720,171,66,0.01224609375
train,1280,720,148,54,0.008671875
train,1280,720,65,24,0.0016927083333333334
train,1280,720,127,46,0.006338975694444445
train,1280,720,146,55,0.00871310763888889
train,1280,720,449,100,0.04871961805555555
train,1280,720,470,100,0.05099826388888889
train,1280,720,239,108,0.0280078125
train,1280,720,295,92,0.02944878472222222
train,1280,720,349,113,0.04279188368055555
train,1280,720,374,111,0.045045572916666665
train,1280,720,442,167,0.08009331597222222
train,1280,720,453,177,0.087001953125
train,1280,720,428,122,0.056657986111111114
train,1280,720,396,84,0.03609375
train,1280,720,345,120,0.044921875
train,1280,720,409,128,0.056805555555555554
train,1280,720,776,246,0.20713541666666666
train,1280,720,725,236,0.18565538194444445
train,1280,720,190,133,0.027419704861111113
train,1280,720,106,86,0.009891493055555556
train,1280,720,106,69,0.007936197916666667
train,1280,720,103,83,0.009276258680555555
train,1280,720,164,140,0.024913194444444446
train,1280,720,116,92,0.011579861111111112
train,1280,720,184,85,0.01697048611111111
train,1280,720,136,60,0.008854166666666666
train,1280,720,146,54,0.0085546875
train,1280,720,162,85,0.01494140625
train,1280,720,101,57,0.0062467447916666665
train,1280,720,149,51,0.008245442708333333
train,1280,720,246,74,0.019752604166666667
train,1280,720,440,215,0.10264756944444445
train,1280,720,418,185,0.08390842013888888
train,1280,720,301,78,0.025475260416666666
train,1280,720,443,238,0.11440321180555556
train,1280,720,221,86,0.020622829861111112
train,1280,720,264,93,0.026640625
train,1280,720,189,117,0.023994140625
train,1280,720,87,81,0.007646484375
train,1280,720,110,76,0.009071180555555556
train,1280,720,170,131,0.024164496527777777
train,1280,720,103,67,0.007488064236111111
train,1280,720,78,83,0.007024739583333333
train,1280,720,84,65,0.0059244791666666664
train,1280,720,123,61,0.008141276041666666
train,1280,720,173,139,0.026092664930555554
train,1280,720,42,35,0.0015950520833333333
train,1280,720,48,40,0.0020833333333333333
train,1280,720,592,307,0.1972048611111111
train,1280,720,860,354,0.33033854166666665
train,1280,720,816,276,0.244375
train,1280,720,780,194,0.16419270833333333
train,1280,720,209,89,0.020183376736111112
train,1280,720,198,104,0.02234375
train,1280,720,94,76,0.007751736111111111
train,1280,720,213,136,0.03143229166666667
train,1280,720,343,204,0.07592447916666667
train,1280,720,461,207,0.103544921875
train,1280,720,257,163,0.04545464409722222
train,1280,720,194,113,0.02378689236111111
train,1280,720,279,168,0.050859375
train,1280,720,619,291,0.19545247395833334
train,1280,720,369,258,0.10330078125
train,1280,720,648,274,0.19265625
train,1280,720,159,89,0.015354817708333333
train,1280,720,236,105,0.026888020833333335
train,1280,720,174,110,0.020768229166666666
train,1280,720,186,119,0.024016927083333334
train,1280,720,162,79,0.01388671875
train,1280,720,120,77,0.010026041666666667
train,1280,720,198,114,0.0244921875
train,1280,720,159,109,0.018805338541666668
train,1280,720,253,149,0.04090386284722222
train,1280,720,399,218,0.09438151041666666
train,1280,720,63,41,0.002802734375
train,1280,720,463,286,0.14368272569444446
train,1280,720,350,293,0.11127387152777778
train,1280,720,152,87,0.014348958333333333
train,1280,720,392,154,0.06550347222222222
train,1280,720,867,368,0.34619791666666666
train,1280,720,150,78,0.0126953125
train,1280,720,227,165,0.04064127604166667
train,1280,720,265,140,0.04025607638888889
train,1280,720,287,144,0.04484375
train,1280,720,376,211,0.08608506944444444
train,1280,720,195,128,0.027083333333333334
train,1280,720,181,119,0.02337131076388889
train,1280,720,49,27,0.001435546875
train,1280,720,196,159,0.033815104166666665
train,1280,720,149,147,0.023766276041666666
train,1280,720,323,284,0.09953559027777778
train,1280,720,327,295,0.10467122395833334
train,1280,720,479,344,0.17879340277777778
train,1280,720,495,283,0.152001953125
train,1280,720,57,40,0.0024739583333333332
train,1280,720,1011,381,0.417958984375
train,1280,720,44,25,0.001193576388888889
train,1280,720,76,28,0.002309027777777778
train,1280,720,479,208,0.10810763888888889
train,1280,720,85,78,0.007194010416666666
train,1280,720,49,30,0.0015950520833333333
train,1280,720,55,43,0.002566189236111111
train,1280,720,172,82,0.015303819444444445
train,1280,720,219,69,0.016396484375
train,1280,720,579,131,0.08230143229166667
train,1280,720,173,142,0.026655815972222222
train,1280,720,59,36,0.0023046875
train,1280,720,88,35,0.0033420138888888887
train,1280,720,72,22,0.00171875
train,1280,720,240,94,0.024479166666666666
train,1280,720,190,75,0.015462239583333334
train,1280,720,202,90,0.0197265625
train,1280,720,296,77,0.02473090277777778
train,1280,720,275,151,0.04505750868055555
train,1280,720,311,96,0.03239583333333333
train,1280,720,235,123,0.03136393229166667
train,1280,720,505,410,0.2246636284722222
train,1280,720,547,399,0.23681966145833333
train,1280,720,190,55,0.011338975694444444
train,1280,720,174,54,0.0101953125
train,1280,720,106,38,0.004370659722222222
train,1280,720,83,51,0.004593098958333333
train,1280,720,363,172,0.06774739583333333
train,1280,720,135,54,0.00791015625
train,1280,720,99,46,0.00494140625
train,1280,720,59,33,0.0021126302083333335
train,1280,720,120,63,0.008203125
train,1280,720,87,49,0.004625651041666666
train,1280,720,233,149,0.03767035590277778
train,1280,720,247,144,0.03859375
train,1280,720,88,48,0.004583333333333333
train,1280,720,100,57,0.006184895833333333
train,1280,720,91,54,0.00533203125
train,1280,720,197,98,0.020948350694444444
train,1280,720,229,109,0.02708441840277778
train,1280,720,187,100,0.020290798611111112
train,1280,720,223,110,0.026616753472222223
train,640,360,98,46,0.01956597222222222
train,640,360,128,86,0.04777777777777778
train,640,360,259,175,0.1967230902777778
train,640,360,53,27,0.0062109375
train,1280,720,152,80,0.013194444444444444
train,1280,720,31,11,0.00037000868055555555
train,1280,720,30,17,0.0005533854166666667
train,1280,720,34,20,0.0007378472222222222
train,1280,720,39,22,0.0009309895833333334
train,1280,720,55,28,0.0016710069444444444
train,1280,720,231,108,0.0270703125
train,1280,720,226,132,0.03236979166666667
train,1280,720,106,66,0.007591145833333333
train,1280,720,56,36,0.0021875
train,1280,720,37,25,0.001003689236111111
train,1280,720,127,60,0.008268229166666667
train,1280,720,235,120,0.030598958333333332
train,1280,720,80,79,0.006857638888888889
train,1280,720,149,127,0.020532769097222223
train,1280,720,277,110,0.03306206597222222
train,1280,720,117,71,0.009013671875
train,1280,720,148,81,0.0130078125
train,1280,720,128,68,0.009444444444444445
train,1280,720,87,66,0.00623046875
train,1280,720,53,44,0.0025303819444444445
train,1280,720,58,49,0.003083767361111111
train,1280,720,31,49,0.0016482204861111112
train,1280,720,63,58,0.00396484375
train,1280,720,25,29,0.0007866753472222222
train,1280,720,75,41,0.0033365885416666665
train,1280,720,104,60,0.0067708333333333336
train,1280,720,98,58,0.006167534722222222
train,1280,720,98,61,0.006486545138888889
train,1280,720,96,51,0.0053125
train,1280,720,97,67,0.007051866319444444
train,1280,720,101,64,0.007013888888888889
train,1280,720,193,116,0.02429253472222222
train,1280,720,181,118,0.023174913194444445
train,1280,720,200,109,0.023654513888888888
train,1280,720,64,41,0.0028472222222222223
train,1280,720,264,166,0.047552083333333335
train,1280,720,71,42,0.0032356770833333335
train,1280,720,121,43,0.005645616319444445
train,1280,720,294,126,0.0401953125
train,1280,720,325,143,0.05042860243055555
train,1280,720,466,247,0.12489366319444445
train,1280,720,127,58,0.007992621527777778
train,1280,720,101,43,0.0047124565972222225
train,1280,720,204,71,0.015716145833333334
train,1280,720,149,54,0.00873046875
train,1280,720,126,93,0.01271484375
train,1280,720,146,75,0.011881510416666666
train,1280,720,103,72,0.008046875
train,1280,720,118,61,0.007810329861111111
train,1280,720,169,79,0.014486762152777779
train,1280,720,181,86,0.016890190972222222
train,1280,720,201,111,0.024208984375
train,1280,720,155,82,0.013791232638888888
train,1280,720,134,61,0.00886935763888889
train,1280,720,154,69,0.011529947916666667
train,1280,720,117,100,0.0126953125
train,1280,720,151,78,0.012779947916666666
train,1280,720,38,23,0.0009483506944444445
train,1280,720,79,49,0.0042003038194444444
train,1280,720,53,34,0.001955295138888889
train,1280,720,67,44,0.0031987847222222222
train,1280,720,145,76,0.011957465277777777
train,1280,720,75,43,0.0034993489583333335
train,1280,720,89,55,0.005311414930555556
train,1280,720,55,30,0.0017903645833333333
train,960,720,62,50,0.004484953703703704
train,960,720,91,71,0.009347511574074074
train,960,720,104,75,0.011284722222222222
train,960,720,94,64,0.008703703703703703
train,1280,720,391,143,0.060669487847222224
train,1280,720,167,72,0.013046875
train,1280,720,96,58,0.0060416666666666665
train,1280,720,64,40,0.002777777777777778
train,1280,720,102,33,0.00365234375
train,1280,720,398,159,0.06866536458333333
train,1280,720,146,76,0.012039930555555555
train,1280,720,167,53,0.009603949652777779
train,1280,720,348,267,0.1008203125
train,1280,720,144,62,0.0096875
train,1280,720,32,19,0.0006597222222222222
train,1280,720,91,40,0.003949652777777778
train,1280,720,71,54,0.00416015625
train,1280,720,54,23,0.00134765625
train,1280,720,76,29,0.0023914930555555556
train,1280,720,36,19,0.0007421875
train,1280,720,27,13,0.000380859375
train,1280,720,147,107,0.017067057291666667
train,1280,720,94,23,0.0023459201388888887
train,1280,720,68,20,0.0014756944444444444
train,1280,720,52,21,0.0011848958333333334
train,1280,720,234,181,0.04595703125
train,1280,720,199,138,0.029798177083333332
train,1280,720,55,18,0.00107421875
train,1280,720,122,75,0.009928385416666666
train,1280,720,139,83,0.012518446180555556
train,1280,720,750,157,0.12776692708333334
train,1280,720,580,141,0.08873697916666666
train,1280,720,478,271,0.14055772569444444
train,1280,720,116,71,0.008936631944444445
train,1280,720,735,164,0.13079427083333334
train,1280,720,481,88,0.04592881944444444
train,1280,720,435,99,0.046728515625
train,1280,720,122,31,0.0041037326388888885
train,1280,720,163,105,0.018570963541666666
train,1280,720,231,106,0.026569010416666667
train,1280,720,433,291,0.13672200520833333
train,1280,720,145,78,0.012272135416666666
train,1280,720,43,34,0.0015863715277777777
train,1280,720,39,29,0.0012272135416666666
train,1280,720,503,369,0.201396484375
train,1280,720,880,578,0.5519097222222222
train,1280,720,104,80,0.009027777777777777
train,1280,720,88,77,0.007352430555555556
train,1280,720,90,73,0.00712890625
train,1280,720,117,68,0.0086328125
train,1280,720,359,232,0.09037326388888889
train,1280,720,138,72,0.01078125
train,1280,720,124,60,0.008072916666666667
train,1280,720,89,45,0.004345703125
train,1280,720,74,42,0.003372395833333333
train,1280,720,282,174,0.0532421875
train,1280,720,589,254,0.16233289930555556
train,1280,720,144,83,0.01296875
