epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
24,4295.6,1.5217,0.78308,0.00339,0.91249,0.84512,0.89982,0.56668,1.41921,0.72077,0.00427,0.0015446,0.0015446,0.0015446
25,4473.6,1.54136,0.79074,0.00333,0.89685,0.83676,0.88294,0.48094,1.70038,0.76052,0.00488,0.0015248,0.0015248,0.0015248
26,4651.57,1.48471,0.74806,0.00357,0.93407,0.84098,0.89973,0.53357,1.55246,0.7336,0.00438,0.001505,0.001505,0.001505
27,4829.55,1.54302,0.75369,0.00359,0.92399,0.83447,0.9046,0.57291,1.40101,0.71135,0.00398,0.0014852,0.0014852,0.0014852
28,5007.55,1.45962,0.72262,0.00284,0.93277,0.85531,0.9129,0.59638,1.35169,0.67054,0.00391,0.0014654,0.0014654,0.0014654
29,5185.57,1.48216,0.71964,0.00315,0.94475,0.83933,0.89901,0.56299,1.45623,0.72292,0.00434,0.0014456,0.0014456,0.0014456
30,5364.24,1.46895,0.7195,0.00329,0.93176,0.8417,0.90352,0.58034,1.38822,0.65843,0.00398,0.0014258,0.0014258,0.0014258
31,5542.21,1.48413,0.70995,0.00318,0.95071,0.82877,0.90655,0.56487,1.43928,0.68142,0.00429,0.001406,0.001406,0.001406
32,5720.13,1.4619,0.72178,0.00302,0.93665,0.85731,0.91567,0.58704,1.38835,0.64538,0.0041,0.0013862,0.0013862,0.0013862
33,5898.15,1.45226,0.66698,0.00316,0.94364,0.841,0.90551,0.55381,1.45439,0.71015,0.00434,0.0013664,0.0013664,0.0013664
34,6076.08,1.43811,0.65655,0.00315,0.94048,0.84776,0.90944,0.5572,1.4734,0.64542,0.00389,0.0013466,0.0013466,0.0013466
35,6254.06,1.45117,0.687,0.00296,0.92697,0.86942,0.91623,0.58285,1.41298,0.65712,0.00417,0.0013268,0.0013268,0.0013268
36,6432.01,1.41769,0.66099,0.0033,0.93318,0.8609,0.91688,0.60176,1.36408,0.61513,0.00419,0.001307,0.001307,0.001307
37,6610.12,1.42827,0.67797,0.00293,0.93844,0.87012,0.92323,0.59975,1.38558,0.60301,0.00418,0.0012872,0.0012872,0.0012872
38,6788.09,1.41084,0.6295,0.00285,0.92308,0.84938,0.90274,0.53988,1.53963,0.65925,0.00441,0.0012674,0.0012674,0.0012674
39,6966.08,1.37433,0.60993,0.00294,0.94667,0.88813,0.93086,0.59261,1.3947,0.56333,0.00408,0.0012476,0.0012476,0.0012476
40,7144.51,1.41201,0.63031,0.00289,0.94906,0.85616,0.92055,0.59704,1.35957,0.63339,0.00376,0.0012278,0.0012278,0.0012278
41,7322.52,1.3898,0.61736,0.00295,0.94151,0.88195,0.93052,0.61065,1.31333,0.58901,0.00374,0.001208,0.001208,0.001208
42,7500.55,1.37261,0.60711,0.00281,0.94551,0.8516,0.90656,0.57402,1.42596,0.6775,0.00391,0.0011882,0.0011882,0.0011882
43,7678.55,1.39833,0.60609,0.00272,0.93894,0.86019,0.91191,0.60142,1.34063,0.65518,0.00368,0.0011684,0.0011684,0.0011684
44,7856.51,1.38301,0.58839,0.00281,0.9455,0.87139,0.92511,0.60351,1.36521,0.59694,0.00387,0.0011486,0.0011486,0.0011486
45,8034.48,1.37701,0.57256,0.0028,0.93678,0.88356,0.92448,0.61715,1.31578,0.59161,0.00353,0.0011288,0.0011288,0.0011288
46,8212.5,1.35306,0.56882,0.00284,0.93902,0.87215,0.92165,0.6179,1.29064,0.58874,0.00348,0.001109,0.001109,0.001109
47,8390.54,1.37517,0.57932,0.00284,0.95045,0.88128,0.92703,0.62016,1.31107,0.58265,0.00351,0.0010892,0.0010892,0.0010892
48,8568.56,1.36698,0.57659,0.00275,0.93122,0.89041,0.92815,0.59906,1.38031,0.58631,0.00362,0.0010694,0.0010694,0.0010694
49,8746.48,1.34757,0.5575,0.00254,0.96123,0.87785,0.92041,0.61517,1.29945,0.56858,0.00349,0.0010496,0.0010496,0.0010496
50,8924.52,1.34773,0.5578,0.00276,0.95412,0.86986,0.93044,0.60975,1.30427,0.57523,0.00344,0.0010298,0.0010298,0.0010298
51,9102.52,1.35201,0.52593,0.0027,0.95839,0.88014,0.93022,0.61309,1.32442,0.58856,0.00361,0.00101,0.00101,0.00101
52,9280.5,1.31182,0.52931,0.00252,0.95934,0.88888,0.92672,0.6082,1.31813,0.58023,0.0035,0.0009902,0.0009902,0.0009902
53,9458.81,1.32148,0.54285,0.00246,0.94838,0.90186,0.93037,0.60366,1.36404,0.55292,0.00374,0.0009704,0.0009704,0.0009704
54,9636.79,1.30476,0.52733,0.00257,0.95034,0.88813,0.93257,0.6188,1.31887,0.56888,0.00354,0.0009506,0.0009506,0.0009506
55,9814.7,1.28032,0.5163,0.00246,0.96867,0.88244,0.9296,0.63064,1.28271,0.56309,0.00354,0.0009308,0.0009308,0.0009308
56,9992.73,1.30442,0.52837,0.00256,0.95911,0.88362,0.92439,0.62494,1.27538,0.55199,0.00343,0.000911,0.000911,0.000911
57,10170.7,1.27545,0.50846,0.00242,0.9501,0.90068,0.93347,0.61866,1.29152,0.58221,0.00334,0.0008912,0.0008912,0.0008912
58,10348.7,1.29934,0.53761,0.00247,0.96234,0.89269,0.9355,0.61828,1.30707,0.54219,0.00333,0.0008714,0.0008714,0.0008714
59,10526.6,1.26793,0.50368,0.00249,0.96181,0.89131,0.93238,0.61991,1.30432,0.54755,0.00346,0.0008516,0.0008516,0.0008516
60,10704.6,1.28805,0.50265,0.00256,0.95424,0.88085,0.91993,0.60196,1.33579,0.57824,0.00352,0.0008318,0.0008318,0.0008318
61,10882.6,1.27007,0.49111,0.00235,0.96053,0.88898,0.93872,0.62937,1.28609,0.5373,0.00338,0.000812,0.000812,0.000812
62,11060.8,1.30539,0.50672,0.00246,0.96047,0.88766,0.93002,0.60892,1.33614,0.53499,0.00366,0.0007922,0.0007922,0.0007922
63,11238.8,1.24046,0.50051,0.00237,0.96268,0.88346,0.93074,0.6211,1.29422,0.58373,0.00346,0.0007724,0.0007724,0.0007724
64,11416.7,1.24102,0.46817,0.0025,0.97092,0.89269,0.93254,0.63909,1.24965,0.53632,0.0033,0.0007526,0.0007526,0.0007526
65,11594.8,1.23684,0.47682,0.00248,0.953,0.90278,0.93927,0.62723,1.29867,0.51852,0.00386,0.0007328,0.0007328,0.0007328
66,11772.7,1.24478,0.48608,0.00244,0.95612,0.89537,0.93261,0.64043,1.24104,0.51825,0.00336,0.000713,0.000713,0.000713
67,11950.7,1.2071,0.46836,0.00218,0.95615,0.89608,0.93446,0.64598,1.2249,0.51879,0.00316,0.0006932,0.0006932,0.0006932
68,12129.4,1.21614,0.48065,0.00239,0.94496,0.91324,0.93523,0.63037,1.28577,0.51715,0.00354,0.0006734,0.0006734,0.0006734
69,12307.3,1.19953,0.46461,0.00225,0.95414,0.90252,0.93535,0.63805,1.24357,0.55679,0.00315,0.0006536,0.0006536,0.0006536
70,12485.2,1.23102,0.44024,0.00215,0.95768,0.90404,0.9385,0.62104,1.28009,0.54884,0.00322,0.0006338,0.0006338,0.0006338
71,12663.1,1.20454,0.46777,0.00229,0.96087,0.89699,0.93903,0.64631,1.21851,0.53306,0.00308,0.000614,0.000614,0.000614
72,12841.1,1.19883,0.4537,0.00228,0.96038,0.90868,0.935,0.63475,1.26755,0.51473,0.0033,0.0005942,0.0005942,0.0005942
73,13019,1.20377,0.43892,0.00209,0.96265,0.90868,0.93495,0.62756,1.27944,0.53474,0.00329,0.0005744,0.0005744,0.0005744
74,13197,1.22235,0.43711,0.00214,0.97387,0.89337,0.93281,0.63671,1.24346,0.5311,0.00316,0.0005546,0.0005546,0.0005546
75,13374.9,1.16343,0.41585,0.00217,0.96388,0.90753,0.93475,0.63523,1.2751,0.52768,0.00358,0.0005348,0.0005348,0.0005348
76,13553.4,1.17938,0.41469,0.002,0.95896,0.90525,0.93235,0.62838,1.26889,0.5409,0.0032,0.000515,0.000515,0.000515
77,13731.3,1.18852,0.42006,0.00234,0.9622,0.89498,0.93173,0.61605,1.31063,0.55927,0.00334,0.0004952,0.0004952,0.0004952
78,13909.2,1.1786,0.43236,0.00212,0.95116,0.91158,0.93512,0.63998,1.22582,0.53042,0.00303,0.0004754,0.0004754,0.0004754
79,14087.2,1.16392,0.4141,0.0021,0.96206,0.90525,0.93376,0.64372,1.21492,0.53286,0.00303,0.0004556,0.0004556,0.0004556
80,14266,1.15339,0.40973,0.00211,0.95834,0.90297,0.93145,0.63584,1.2593,0.53532,0.00326,0.0004358,0.0004358,0.0004358
81,14444.7,1.12865,0.40078,0.00208,0.96203,0.90639,0.93332,0.63935,1.24627,0.52601,0.0032,0.000416,0.000416,0.000416
82,14622.8,1.14226,0.40356,0.00197,0.95707,0.90639,0.93108,0.63678,1.25801,0.52338,0.00321,0.0003962,0.0003962,0.0003962
83,14800.7,1.134,0.39394,0.00211,0.97456,0.90183,0.93522,0.6425,1.23058,0.53711,0.00305,0.0003764,0.0003764,0.0003764
84,14978.7,1.13668,0.39901,0.00202,0.9715,0.89513,0.93509,0.63532,1.2673,0.54719,0.00311,0.0003566,0.0003566,0.0003566
85,15156.6,1.11364,0.39438,0.00172,0.96708,0.90553,0.93674,0.63522,1.24048,0.53815,0.00289,0.0003368,0.0003368,0.0003368
86,15334.5,1.12152,0.40258,0.00208,0.95776,0.90593,0.9353,0.64518,1.2265,0.51867,0.00291,0.000317,0.000317,0.000317
87,15512.4,1.12936,0.38906,0.0019,0.97896,0.89498,0.93481,0.64297,1.24467,0.51207,0.00317,0.0002972,0.0002972,0.0002972
88,15690.3,1.12007,0.39165,0.00203,0.9674,0.90525,0.9362,0.63849,1.24751,0.5522,0.00306,0.0002774,0.0002774,0.0002774
89,15868.3,1.09885,0.36916,0.00182,0.96552,0.90411,0.93545,0.65052,1.21286,0.53092,0.00294,0.0002576,0.0002576,0.0002576
90,16046.3,1.13096,0.39642,0.0018,0.97414,0.89269,0.93526,0.64426,1.22562,0.52961,0.00295,0.0002378,0.0002378,0.0002378
91,16237.4,1.0914,0.34617,0.0019,0.97262,0.89218,0.92593,0.62963,1.26784,0.58873,0.00305,0.000218,0.000218,0.000218
92,16415.3,1.07319,0.33604,0.0019,0.97152,0.8955,0.9342,0.64038,1.2557,0.54638,0.00306,0.0001982,0.0001982,0.0001982
93,16593.1,1.06328,0.333,0.00188,0.97751,0.89323,0.937,0.63892,1.23558,0.54299,0.00296,0.0001784,0.0001784,0.0001784
94,16771,1.06344,0.33141,0.002,0.97722,0.89155,0.93203,0.63733,1.24598,0.56032,0.00299,0.0001586,0.0001586,0.0001586
95,16948.8,1.05909,0.32014,0.00182,0.96906,0.89388,0.93004,0.63287,1.25129,0.55591,0.00299,0.0001388,0.0001388,0.0001388
96,17126.7,1.04153,0.31373,0.00178,0.96847,0.89384,0.93233,0.64067,1.24161,0.55277,0.0029,0.000119,0.000119,0.000119
97,17304.5,1.03126,0.31032,0.00173,0.97324,0.89612,0.93413,0.63999,1.23562,0.54849,0.00292,9.92e-05,9.92e-05,9.92e-05
98,17482.3,1.04574,0.31252,0.00173,0.97463,0.89498,0.9358,0.63624,1.24973,0.5629,0.00292,7.94e-05,7.94e-05,7.94e-05
99,17660.1,1.04489,0.30675,0.00168,0.97415,0.89726,0.93599,0.64363,1.22768,0.55113,0.00292,5.96e-05,5.96e-05,5.96e-05
100,17838,1.04074,0.32178,0.00177,0.97644,0.89879,0.93689,0.64368,1.23402,0.54832,0.00292,3.98e-05,3.98e-05,3.98e-05
